url,max_intra,media_intra,desviacion_intra,min_inter,url_mas_cerca,riesgo_solape,num_urls_solapadas
forms.gle,0.1251154734411085,0.0137086625339329,0.0390250390025138,0.0,adnxs.com,Sí,137
amazon.com,0.0770338847706053,0.0404748927860957,0.0169557044379934,0.000159844710694591,icloud.com,Sí,137
telekom.de,0.126779518247035,0.0416630292119006,0.058675253917153,0.00039386289990511416,ivi.ru,Sí,137
cloudflare.net,0.1428571428571428,0.0157226640504263,0.0305921451866877,0.0002611899263169473,medium.com,Sí,136
tiktokv.com,0.1000769822940723,0.000451440379239,0.0064784033882613,0.0,adnxs.com,Sí,135
googleapis.com,0.1000898126764177,0.0119079723944194,0.0323702916855193,0.0,app-analytics-services.com,Sí,134
soundcloud.com,0.091936881343406,0.0510667197570441,0.0203582133062177,5.9170704463463554e-05,miui.com,Sí,134
goo.gl,0.1000769822940723,0.0119009764596248,0.032371622725032,0.0,t.co,Sí,133
fastly.net,0.0866642979806952,0.054797313581538,0.013479780368199,8.714976687437343e-05,telekom.net,Sí,133
outlook.com,0.0796707365291464,0.0295184383393126,0.0159634033561018,0.00022717254217468946,sharepoint.com,Sí,133
nytimes.com,0.1037445618139105,0.0476879139491793,0.0184945510328837,0.0017670935684792508,pinterest.com,Sí,133
samsung.com,0.1177149843771227,0.053063984017766,0.0235732211434893,0.00045646552574959043,fastly.net,Sí,132
tumblr.com,0.1157399182803339,0.0349628614602177,0.0274811946794741,0.00010785980762886104,facebook.com,Sí,131
casalemedia.com,0.111303566846292,0.0302080207709053,0.0251479274863797,0.00015051025443635162,fastly.net,Sí,131
criteo.com,0.0858090687189994,0.0403479697713334,0.0176079090735772,0.00032686926451360555,ui.com,Sí,131
sciencedirect.com,0.100230946882217,0.0147854354901881,0.0333925184592904,9.940021487365593e-05,linkos.bg,Sí,130
bing.com,0.0923612569109104,0.0316420154619205,0.0238020180707518,0.0010980807747551404,t.me,Sí,129
mts.ru,0.0886409067091039,0.0469235787666957,0.0157419405548862,0.0013343597639209651,workers.dev,Sí,129
qq.com,0.0753245623238455,0.0379212432904112,0.016124974518981,0.0002824078722763327,t.me,Sí,127
t.me,0.0835257890685142,0.0013916440446767,0.0094813608000509,0.0002824078722763327,qq.com,Sí,127
workers.dev,0.0841948018622383,0.0084003339758171,0.0246497442814038,0.00037803805124821317,meraki.com,Sí,127
snapchat.com,0.0945028415523253,0.0416923454767426,0.0219824611565785,0.0002051917764796448,tumblr.com,Sí,126
digicert.com,0.0625769822940723,0.0062750586370982,0.0187463402637662,6.415191172696942e-05,blogspot.com,Sí,125
one.one,0.0975875751829111,0.0477413243188571,0.0161952358235726,7.895619904857777e-05,gravatar.com,Sí,125
twitter.com,0.0910490587164951,0.0113566063341194,0.0201785712755482,0.00013996780740429702,x.com,Sí,125
paypal.com,0.0888919078023819,0.0349913788834416,0.0302498420318666,0.00017830457818231255,baidu.com,Sí,125
live.com,0.0809000875363182,0.0105807601582717,0.0157357762147149,0.00029329025600707614,outlook.com,Sí,125
vimeo.com,0.1101128447774085,0.0496339411682852,0.0202378098168125,0.0005176858103124086,amazonvideo.com,Sí,125
apple.com,0.0839381942153304,0.007588944455056,0.0236233675911151,0.00023575827559661327,europa.eu,Sí,124
msn.com,0.0817897006832827,0.0353681471069996,0.0146664173718564,0.0025952779082717174,pinterest.com,Sí,123
office.com,0.0716526865487604,0.0333285925091538,0.0166264219998839,0.00011059673469672109,soundcloud.com,Sí,122
